"Variety_f","PhonCont_f","RhoticType_f","N","Median","SD"
"Burgudži","Initial","TAP",31,-0.256,0.599
"Burgudži","Initial","TRILL+",22,1.948,0.847
"Burgudži","Intervocalic","TAP",122,-0.644,0.393
"Burgudži","Intervocalic","TRILL+",4,0.245,0.89
"Burgudži","Final","TAP",11,0.226,0.892
"Burgudži","Final","TRILL+",19,1.171,0.771
"Kalajdži","Initial","TAP",16,-0.438,1.405
"Kalajdži","Initial","TRILL+",8,2.302,0.839
"Kalajdži","Intervocalic","TAP",149,-0.534,0.255
"Kalajdži","Intervocalic","TRILL+",2,1.405,1.914
"Kalajdži","Final","TAP",24,0.694,0.731
"Kalajdži","Final","TRILL+",20,1.698,0.757
"Kalderaš","Initial","TAP",23,-0.474,0.818
"Kalderaš","Initial","TRILL+",28,1.051,1.057
"Kalderaš","Intervocalic","TAP",76,-0.79,0.348
"Kalderaš","Intervocalic","TRILL+",19,0.192,0.601
"Kalderaš","Final","TAP",27,0.118,0.742
"Kalderaš","Final","TRILL+",16,0.885,0.671
